feelings,comments,questions
4,because santana has a stink bum,tp008
1,test,tp008
1,-,tp008
0,-,tp008
0,I WOULD BE SO GOOD FOR COING WITH STRESS AND RECONNECT WITH WHOM WE REALLY ARE. NATURE IS OU FIRST HOME. PAPATUANUKU IS OUR MOTHER.,tp008
3,-,tp008
0,-,tp008
0,thisa goodidea,tp008
0,great initiave,tp008
0,good idea,tp008
0,good idea lockdown was great to hear the nativescome back and it smelt better withless cars. we live ### ### ###### ###### and the smell and also sound of the nativeswasawesome,tp008
1,I like the idea and i am hopefull,tp008
1,I am hopefull of this idea,tp008
0,-,tp008
4,-,tp008
1,-,tp008
0,-,tp008
0,because i akways feel better out in the sun.,tp008
1,-,tp008
0,-,tp008
0,-,tp008
1,-,tp008
0,hlp,tp008
1,tgvevf,tp008
0,life work balance,tp008
0,cool,tp008
1,I think that this would be great for the environment.,tp008
1,test,tp008
0,I think this is good because then we could discovr new animals and help them like kiwis and tuis.,tp008
0,illove      nature it hellp   s    me you m  e,tp008
0,i lke naure,tp008
2,because,tp008
0,cause its sick!  we are nature,tp008
0,NZHC 4 lÄ«fÄ SÅªPPÅRT YÅªR LÅCÄL SCÄNÄ,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,-,tp008
1,We have the chance to show the world true modern leadership in the face of adversity.,tp008
0,-,tp008
0,my names ####,tp008
0,it calms us down and takes away the stress of work,tp008
3,thefuture,tp008
3,what if it doent happen,tp008
3,the future,tp008
0,hell i an b danger,tp008
1,if people were accepting of their duty to nature the world would be a much happier place,tp008
0,i think time for nature is so incredibly important for people to be spending time amongst. we belong with nature. To be with nature is to be free.,tp008
0,-,tp008
1,i love nature,tp008
0,It would be a great opportunity for peopleto learn about the endagered species. And create awareness,tp008
0,-,tp008
4,angery,tp008
2,-,tp008
0,-,tp008
1,-,tp008
0,-,tp008
0,-,tp008
0,giving back to the land that we take from,tp008
1,We need to take more interest in the world we are living in before it is too late. I hope this idea will spark conversation and encourage people to think more about conservation.,tp008
2,test,tp008
0,everyone should spend time in nature. it gives us perspective and has a calming effect,tp008
1,-,tp008
0,People need to step up and be part of the solution,tp008
0,i think it is important,tp008
0,-,tp008
0,-,tp008
1,-,tp008
0,-,tp008
0,i love yo of he world every day!,tp008
0,-,tp008
0,They should because they're the ones who are polluting the air the most ( by using cars).,tp008
1,-,tp008
1,ggdhaff,tp008
2,-,tp008
0,-,tp008
1,.lol,tp008
0,-,tp008
0,-,tp008
0,-,tp008
1,-,tp008
0,this would be a good idea,tp008
0,makes you appreciate your surroundings,tp008
0,because itshelping tostop global warming,tp008
1,we should look affter our environment,tp008
1,-,tp008
3,cheated on the first day,tp008
0,this is both good for peoples mental health and environment,tp008
2,kdhfyt,tp008
2,-,tp008
0,-,tp008
1,-,tp008
1,-,tp008
1,-,tp008
1,because it means my mum can have a day of to go wlking with me,tp008
0,because the natural world returns us to equalibrium,tp008
2,i just dont care,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,holistic workplaces,tp008
0,-,tp008
0,-,tp008
4,-,tp008
0,-,tp008
0,-,tp008
0,i lyk nature,tp008
0,bagutte,tp008
2,-,tp008
4,because its not real,tp008
1,i think that it is shown us the potential of human kindness and understading,tp008
2,#### should eat;,tp008
2,###### is thehottest lass,tp008
1,i should get head,tp008
1,-,tp008
1,-,tp008
1,-,tp008
1,-,tp008
0,Looking after our earth is good for everyone ,tp008
0,-,tp008
0,-,tp008
1,lets start undoing what we as a people have done,tp008
0,-,tp008
0,the earth needs rests too.,tp008
0,yay,tp008
0,because i agree with this idea and like nature as well,tp008
0,-,tp008
4,-,tp008
3,nz economy needs to be built back up again.,tp008
1,mental health is an investment,tp008
1,giving back is important,tp008
1,-,tp008
1,-,tp008
0,NATURE HELPS US CALM AND RESET,tp008
4,hfccbhtrff,tp008
2,my name ###,tp008
1,-,tp008
1,each business within new zealadn should have some responsibility to give back to ur land. we are in a time wherethisis possible,tp008
1,guy,tp008
0,-,tp008
1,-,tp008
3,tik tok,tp008
0,its good for everything,tp008
1,-,tp008
1,-,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,pie,tp008
0,-,tp008
0,-,tp008
0,Nature replenishes the soul. Away from a computer screen all day sitting. No fresh air.,tp008
0,yes let me be bush person,tp008
0,ithink this is good idia,tp008
3,this question is framed in an unfair way,tp008
2,dfdvfgfvg,tp008
4,"sdfxccuiyvgcrdcgdh7:$6787(@#?!$(+$&:;:; ""?#-7654& 444&&4(-+3_4543_-7_7_:$_:-:__-____:8--;:3_+:3__387_378_3+8_378-_34_3&835637#--$+qeedgytdgfjdjafjawjhwdgghgggggggggggggggggyudad",tp008
0,edsfdftggyuhjikolpmnbvcxzaqswdefrgthyujikolpyuuuhjioklmnbvfccewqasdki,tp008
3,vhghytfju,tp008
1,errer,tp008
0,giving back what is freely given to us from nature is good for the soul,tp008
1,-,tp008
1,-,tp008
0,-,tp008
1,could do a good lot for our environment in the long term.,tp008
1,-,tp008
1,-,tp008
0,-,tp008
1,-,tp008
0,a day off work would be great,tp008
0,coz we can enjoy naturemore,tp008
1,nice idea but businesses wont do it,tp008
0,-,tp008
0,bc,tp008
2,i dont really know tbh,tp008
1,:) itd be cool and good :),tp008
1,because nature is very important.,tp008
0,The environment is super important,tp008
0,because our whenua is very inportant if we dont have whenua we have nothing,tp008
0,-,tp008
0,nature makes  us all happier,tp008
0,businesses harm nature daily - we should give her a break,tp008
0,kids,tp008
0,forest SESH,tp008
0,-,tp008
0,cause,tp008
2,reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,tp008
0,reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,tp008
0,srceeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,tp008
0,sreeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,tp008
1,yaaaaaaaaaaayy,tp008
2,ooooo,tp008
4,gogogo,tp008
0,one love.,tp008
2,bah,tp008
4,-,tp008
0,im hungry,tp008
0,i should live in wellington,tp008
0,-,tp008
0,nature keeps our brains and bodies healthy and happy,tp008
0,-,tp008
1,-,tp008
0,for family outtings,tp008
0,we,tp008
0,-,tp008
1,-,tp008
0,i dont understand the question,tp008
0,Everyone should give back to nature as nature supports us all and it would be great for businesses to get involved,tp008
1,-,tp008
0,it is important for he tangata and tamariki to explore and appreciste the batural world around us. we have been blessed to live innz ashould be far nore respectful then we are,tp008
3,-,tp008
0,-,tp008
1,-,tp008
2,i cant speak maaoriso i dont know wat tis is,tp008
0,nature benefits our mental health and mood,tp008
1,we need to give back to naturemore,tp008
0,-,tp008
0,everyone would be calmer,tp008
1,-,tp008
0,i think thats n awesome idea,tp008
0,ayuda al medio anbiente  preservar especies,tp008
1,-,tp008
1,-,tp008
1,nature is important and maks me feel happier andhpeful,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,ko PÄpÄtuanuku tÅ tÄtou nei whaea. He taonga ia!,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,we need it. not just for nature but for fresh air too,tp008
0,because the earth kinda needs it,tp008
1,its very important,tp008
1,-,tp008
4,im gay,tp008
4,ye,tp008
1,-,tp008
1,-,tp008
0,wesould be focusedonhe natural environment in new zaland as it is beneficial to our society and mental health,tp008
0,I think this sounds like a fantastic idea,tp008
0,-,tp008
0,nature is an important part of nz culture. we should respect what it does for us and preserve for future generations.,tp008
1,-,tp008
0,-,tp008
4,-,tp008
2,-,tp008
1,-,tp008
4,-,tp008
4,-,tp008
0,-,tp008
4,hellllllloooooo,tp008
0,-,tp008
0,-,tp008
0,-,tp008
1,imortant to connect and contribute,tp008
0,-,tp008
0,-,tp008
2,-,tp008
1,-,tp008
0,Everyone should plant a tree and give back to our planet for the future generations.,tp008
0,I think its a great idea. Every city has a botanical garden because its a place we visit thats got lots of trees and clean air with minimal noise.We want to get away from pollution.   Its like visiting the beach to be exposed to ionised air or using a salt lamp.,tp008
4,-,tp008
3,-,tp008
0,nature brings us peace,tp008
0,-,tp008
2,-,tp008
1,-,tp008
0,-,tp008
1,-,tp008
0,-,tp008
1,-,tp008
1,thats the rightdirction,tp008
4,-,tp008
1,pop smoke,tp008
1,winners dont quit quiters dont win,tp008
0,jatt,tp008
1,jatt ##### aa,tp008
0,ahhhh,tp008
1,-,tp008
1,everyone needs time in nature,tp008
1,-,tp008
0,that we shouldhave one day off a week to gve vack to nature,tp008
2,fag,tp008
1,im hopef,tp008
1,yes,tp008
1,faggot,tp008
3,bvbvhfhvfjjfvrfcegvdhfhdcdhdczgz xch,tp008
0,more than one day would be good,tp008
1,One day should be the minimum. Humans need nature,tp008
1,This could be possible...,tp008
2,"I like the idea, but the implementation would be difficult. I'm up for better work/life balance, but that doesn't actually address issues like climate change",tp008
0,im ranga,tp008
0,Without healthy nature there is no long term business and a day a month in nature lifts the productivity and resilience of the team,tp008
2,I don't understand what this means. How do we give back to nature. Is is a donation or will people be forced to go out and do something? ,tp008
1,-,tp008
0,good idea to do,tp008
0,-,tp008
0,-,tp008
2,-,tp008
0,nature heals your soul and revitalises you,tp008
2,-,tp008
0,we need nature and nature needs us. it should be a reciprocal agreement that mother nature will look after us if we look after her.,tp008
1,because theyshould live,tp008
0,cool,tp008
2,##### smells,tp008
0,-,tp008
0,-,tp008
1,its important to care,tp008
1,It is a goodidea but would be interesting to see what it could look like and whether everyone would be interested in doing this,tp008
1,test,tp008
1,making priorities in the community,tp008
0,i think spending tie in nature heals yur worries stress and mentalwounds from stressfull times. nature is all around us and so easy to access and yet people underestimates how it affects your mental wellbeing. as if they have not spent a single day outside.,tp008
0,its our future,tp008
1,-,tp008
1,-,tp008
0,-,tp008
0,because nature is the life,tp008
1,nature is the foundation of our wellbeing. we should prioritise our connection to nature,tp008
0,-,tp008
0,-,tp008
0,protect the earth,tp008
0,)this would be great!!!!!!!!!!:),tp008
0,-,tp008
0,-,tp008
1,-,tp008
0,fukn ay,tp008
4,its bad,tp008
0,good idea,tp008
0,lockdown  showed us how much the earth loved us not using fossil fuels,tp008
0,i agree with ### ####,tp008
0,the earth is more imortant than money. there are so many jobs that make no difference to the world and this is a way they can make a difference,tp008
1,-,tp008
0,-,tp008
0,yes,tp008
0,-,tp008
0,its alg,tp008
0,to see what new new zealand will look like,tp008
4,because i get up late and miss the bus,tp008
0,-,tp008
1,Not sure really. Its always good to be hopeful,tp008
0,-,tp008
1,It would show us they care more about people than money,tp008
0,my lockdown ment working longer hours and no daysoff. i could do with time to breath,tp008
1,Would enough people use it wisely?,tp008
0,its a great idea,tp008
0,because it is good to be outside,tp008
0,-,tp008
0,we should both have whatwe want. the animals and us,tp008
1,itwould be woderful for people in live in harmony with nature and make it a priority,tp008
0,environment is incrediblyimportant conservaion is vital,tp008
1,-,tp008
0,i fell like we have to pay nature for the things we have done to affect the Enviroment,tp008
0,-,tp008
0,it woud be both beneficial to staff connecting with nature and also for the environment. start  a movement xxx,tp008
0,-,tp008
1,great initiative,tp008
1,we need to care for environment,tp008
1,I think I need more infomation,tp008
0,Evidence shows spending time innature improves mental wellbeing. We should also encourage people to spend more of theirtime outdoors in general,tp008
1,-,tp008
0,-,tp008
1,connecting with nature is important for mental health,tp008
1,im intrigued by the idea of taking care of nature becoming a commonplace ritual in all aspects of our lives,tp008
0,nature gives us so much,tp008
2,-,tp008
0,see lots of nature,tp008
0,this would be incredibly helpful to creating a better balance between work and life. allowing a mental health day would be beneficial to everyone in the community,tp008
0,i think that is such a great idea,tp008
0,i think it really helps to be outside during stressing times,tp008
1,It will help us be proeared for the next thing.,tp008
2,i dont care cause ockdlown was fun,tp008
2,lockdown was rubbish,tp008
2,i like pussy penis is gross kill all men xx,tp008
0,-,tp008
0,we need nore time to emerse in beuges,tp008
1,it should be  a monthly holiday were we plant trees and stuff,tp008
0,-,tp008
1,if we worked collectively we could really  make a difference,tp008
0,i think it would be really good for the earth and new zealand and enland and others. i thank  yu for making this amazing place  i also wish that there would be no more plastic because plastic is really bad for the earth . I also wish that w al have world peace. thank you heaps..,tp008
1,being outside feels good and we should look after our environment better,tp008
0,-,tp008
1,NÄ runga i te mea he pai mÄ tÄtou te hunga tiaki i te taiao.,tp008
0,-,tp008
1,-,tp008
0,without a healthy planet how can we be healthy?,tp008
0,time toreconnect,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,why cant we work and inves in our whnua,tp008
0,looking forwad to makeing a bird,tp008
0,ofthe new things that will come to the world,tp008
1,it would be good,tp008
0,-,tp008
0,I think it would be an awesome way to reconnect not just with nate butwith yourself too,tp008
1,-,tp008
